grass_regrowth_time,sheep_gain_from_food,wolf_gain_from_food,Run,Grass Growth,Sheep,Wolves,height,width,initial_sheep,initial_wolves,sheep_reproduce,wolf_reproduce,grass
25,2,18,0,400,0,1,20,20,100,50,0.04,0.05,True
25,2,18,1,400,0,1,20,20,100,50,0.04,0.05,True
25,2,18,2,398,0,5,20,20,100,50,0.04,0.05,True
25,2,18,3,400,0,1,20,20,100,50,0.04,0.05,True
25,2,18,4,400,0,2,20,20,100,50,0.04,0.05,True
25,2,18,5,400,0,2,20,20,100,50,0.04,0.05,True
25,2,18,6,400,0,1,20,20,100,50,0.04,0.05,True
25,2,18,7,400,0,3,20,20,100,50,0.04,0.05,True
25,2,18,8,400,0,1,20,20,100,50,0.04,0.05,True
25,2,18,9,400,0,2,20,20,100,50,0.04,0.05,True
25,2,20,10,394,0,3,20,20,100,50,0.04,0.05,True
25,2,20,11,400,0,4,20,20,100,50,0.04,0.05,True
25,2,20,12,400,0,0,20,20,100,50,0.04,0.05,True
25,2,20,13,400,0,0,20,20,100,50,0.04,0.05,True
25,2,20,14,399,0,5,20,20,100,50,0.04,0.05,True
25,2,20,15,400,0,3,20,20,100,50,0.04,0.05,True
25,2,20,16,400,0,4,20,20,100,50,0.04,0.05,True
25,2,20,17,400,0,2,20,20,100,50,0.04,0.05,True
25,2,20,18,400,0,0,20,20,100,50,0.04,0.05,True
25,2,20,19,400,0,7,20,20,100,50,0.04,0.05,True
25,2,22,20,400,0,5,20,20,100,50,0.04,0.05,True
25,2,22,21,400,0,5,20,20,100,50,0.04,0.05,True
25,2,22,22,400,0,8,20,20,100,50,0.04,0.05,True
25,2,22,23,400,0,4,20,20,100,50,0.04,0.05,True
25,2,22,24,392,0,5,20,20,100,50,0.04,0.05,True
25,2,22,25,400,0,5,20,20,100,50,0.04,0.05,True
25,2,22,26,400,0,3,20,20,100,50,0.04,0.05,True
25,2,22,27,400,0,4,20,20,100,50,0.04,0.05,True
25,2,22,28,400,0,3,20,20,100,50,0.04,0.05,True
25,2,22,29,400,0,2,20,20,100,50,0.04,0.05,True
25,2,24,30,400,0,22,20,20,100,50,0.04,0.05,True
25,2,24,31,400,0,5,20,20,100,50,0.04,0.05,True
25,2,24,32,400,0,2,20,20,100,50,0.04,0.05,True
25,2,24,33,400,0,3,20,20,100,50,0.04,0.05,True
25,2,24,34,400,0,6,20,20,100,50,0.04,0.05,True
25,2,24,35,400,0,13,20,20,100,50,0.04,0.05,True
25,2,24,36,400,0,2,20,20,100,50,0.04,0.05,True
25,2,24,37,400,0,7,20,20,100,50,0.04,0.05,True
25,2,24,38,393,0,5,20,20,100,50,0.04,0.05,True
25,2,24,39,400,0,7,20,20,100,50,0.04,0.05,True
25,2,26,40,400,0,8,20,20,100,50,0.04,0.05,True
25,2,26,41,400,0,15,20,20,100,50,0.04,0.05,True
25,2,26,42,400,0,8,20,20,100,50,0.04,0.05,True
25,2,26,43,400,0,11,20,20,100,50,0.04,0.05,True
25,2,26,44,400,0,11,20,20,100,50,0.04,0.05,True
25,2,26,45,400,0,8,20,20,100,50,0.04,0.05,True
25,2,26,46,400,0,8,20,20,100,50,0.04,0.05,True
25,2,26,47,400,0,4,20,20,100,50,0.04,0.05,True
25,2,26,48,396,0,1,20,20,100,50,0.04,0.05,True
25,2,26,49,400,0,7,20,20,100,50,0.04,0.05,True
25,3,18,50,365,2,7,20,20,100,50,0.04,0.05,True
25,3,18,51,357,6,6,20,20,100,50,0.04,0.05,True
25,3,18,52,399,0,4,20,20,100,50,0.04,0.05,True
25,3,18,53,382,1,2,20,20,100,50,0.04,0.05,True
25,3,18,54,399,0,1,20,20,100,50,0.04,0.05,True
25,3,18,55,394,0,8,20,20,100,50,0.04,0.05,True
25,3,18,56,395,0,3,20,20,100,50,0.04,0.05,True
25,3,18,57,400,0,8,20,20,100,50,0.04,0.05,True
25,3,18,58,366,4,5,20,20,100,50,0.04,0.05,True
25,3,18,59,362,3,1,20,20,100,50,0.04,0.05,True
25,3,20,60,395,0,10,20,20,100,50,0.04,0.05,True
25,3,20,61,400,0,5,20,20,100,50,0.04,0.05,True
25,3,20,62,348,3,8,20,20,100,50,0.04,0.05,True
25,3,20,63,400,0,10,20,20,100,50,0.04,0.05,True
